car,year,firm_id,firm_name,division,model,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
1,1996,4,MAZDA,MAZDA,mx-5 miata,1,18408,18450,89.2,155.4,65.9,2293,1.8,133,23,28
1,1996,4,MAZDA,MAZDA,mx-6,1,6550,19595,102.8,181.5,68.9,2625,2,118,26,31
1,1996,4,MAZDA,MAZDA,protege,1,59644,11695,102.6,174.8,67.3,2385,1.5,92,32,35
1,1996,9,MERCEDEZ,MERCEDEZ,C220,5,28715,29900,105.9,177.4,67.7,3150,2.2,148,23,29
1,1996,9,MERCEDEZ,MERCEDEZ,E320,5,37056,43500,111.5,189.4,70.8,3605,3.2,217,19,26
1,1996,9,MERCEDEZ,MERCEDEZ,S320,5,17317,62700,119.2,201.3,74.3,4480,3.2,228,17,24
1,1996,9,MERCEDEZ,MERCEDEZ,SL320,5,6856,78300,99,176,71.3,4010,3.2,228,17,24
1,1996,10,MITSUBIS,mitsubishi,3000GT,5,7358,30690,97.2,179.7,72.4,3252,3,218,19,24
1,1996,10,MITSUBIS,mitsubishi,eclipse,2,54959,14970,98.8,172.2,68.3,2767,2,140,23,26
1,1996,10,MITSUBIS,mitsubishi,galant,2,65691,14920,103.7,187,68.1,2755,2.4,141,23,28
1,1996,10,MITSUBIS,mitsubishi,mirage,1,31337,10440,96.1,171.1,66.5,2083,1.5,92,32,32
1,1996,2,NISSAN,NISSAN,200sx,1,31389,12449,99.8,170.1,66.6,2330,1.6,115,28,37
1,1996,2,NISSAN,NISSAN,240sx,2,7033,18359,99.4,177.2,68.1,2753,2.4,155,22,26
1,1996,2,NISSAN,NISSAN,300zx,5,2074,37439,96.5,169.5,70.5,3287,3,222,19,23
1,1996,2,NISSAN,NISSAN,altima,2,147910,15649,103.1,180.5,67.1,2853,2.4,150,24,30
1,1996,2,NISSAN,NISSAN,maxima,3,128395,20999,106.3,187.6,69.7,3001,3,190,22,28
1,1996,2,NISSAN,NISSAN,sentra,1,129592,11499,99.8,170.1,66.6,2315,1.6,115,30,37
1,1996,19,GM,oldsmobile,88,4,58525,20405,110.8,201.6,74.7,3455,3.8,205,19,27
1,1996,19,GM,oldsmobile,ninety eight,5,12626,28160,110.7,205.5,74.6,3514,3.8,205,19,27
1,1996,19,GM,oldsmobile,achieva,2,40344,13495,103.4,187.9,68.6,2751,2.4,150,23,32
1,1996,19,GM,oldsmobile,aurora,5,23717,34360,113.8,205.4,74.4,3967,4,250,17,26
1,1996,19,GM,oldsmobile,cutlass ciera,3,89577,13955,104.9,193.2,69.5,2924,2.2,120,20,29
1,1996,19,GM,oldsmobile,cutlass supreme,3,81263,17455,107.5,193.9,71,3283,3.1,160,20,29
1,1996,16,CHRYSLER,plymouth,breeze,3,64500,14060,108,186.3,71.7,2931,2,132,25,31
1,1996,19,GM,pontiac,bonneville,4,73849,21589,110.8,201.2,74.5,3446,3.8,205,17,26
1,1996,19,GM,pontiac,firebird,2,32622,15614,101,195.6,74.5,3311,3.8,200,19,29
1,1996,19,GM,pontiac,grand am,2,222477,13499,103.4,186.9,68.7,2881,2.4,150,23,32
1,1996,19,GM,pontiac,grand prix,3,104979,18359,107.5,194.9,71.9,3318,3.1,160,20,29
1,1996,19,GM,pontiac,sunfire,1,95783,11504,104.1,182,67.4,2679,2.2,120,25,31
1,1996,12,PORSCHE,porsche,911 carrera,5,6255,63750,89.5,167.7,68.3,3064,3.6,282,17,24
1,1996,11,SAAB,saab,900,3,22288,23995,102.4,182.6,67.4,2940,2.3,150,21,26
1,1996,11,SAAB,saab,9000,5,5167,31395,105.2,187.4,70,3110,2.3,170,21,26
1,1996,19,GM,saturn,SC SL,1,278574,12195,99.2,173.2,67.6,2281,1.9,100,29,37
1,1996,5,SUBARU,SUBARU,impreza,1,24687,13495,99.2,172.2,67.1,2590,1.8,110,25,30
1,1996,5,SUBARU,SUBARU,legacy,1,94950,17195,103.5,180.9,67.5,2655,2.2,135,24,32
1,1996,1,TOYOTA,TOYOTA,avalon,4,86605,23418,107.1,190.2,70.3,3285,3,192,20,29
1,1996,1,TOYOTA,TOYOTA,camry ,2,332698,16758,103.1,187.8,69.7,2910,2.2,125,23,27
1,1996,1,TOYOTA,TOYOTA,celica,1,14343,16958,99.9,177,68.9,2395,1.8,105,22,28
1,1996,1,TOYOTA,TOYOTA,corolla,1,212516,12728,97,172,66.3,2315,1.6,100,31,30
1,1996,1,TOYOTA,TOYOTA,paseo,1,6069,13038,93.7,163.6,65.4,2025,1.5,93,30,34
1,1996,1,TOYOTA,TOYOTA,supra,5,861,38600,100.4,177.7,71.3,3210,3,220,18,23
1,1996,1,TOYOTA,TOYOTA,tercel,1,56492,10348,93.7,161.8,64.8,1950,1.5,93,34,35
1,1996,7,VOLKS,volkswagen,cabrio,1,5821,19975,97.4,160.4,66.7,2701,2,115,23,28
1,1996,7,VOLKS,volkswagen,golf III,1,24208,13150,97.4,160.4,66.7,2529,2,115,23,28
1,1996,7,VOLKS,volkswagen,jetta III,2,85022,14250,97.4,173.4,66.7,2657,2,115,23,28
1,1996,7,VOLKS,volkswagen,passat,3,19850,18490,103.3,181.5,67.5,3097,2.8,172,21,27
1,1996,6,VOLVO,VOLVO,850,5,67636,26300,104.9,183.5,69.3,3232,2.4,168,20,26
1,1996,6,VOLVO,VOLVO,960,5,19950,33960,109.1,191.7,68.9,3461,2.9,181,18,26
